ЖУРНАЛ ЭКСПЕРИМЕНТОВ ЛАБОРАТОРИИ, 2025 г.
Записи ведут дежурные исследователи; каждый запуск получает номер run-N.

2025-01-09 | run-101 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.1, batch=128, epochs=30 | val accuracy 0.8802 | loss на валидации немного шумит после 15-й эпохи.
2025-03-20 | run-258 | LightGBM | digits-aug | SGD+momentum, learning_rate=5e-4, batch=128, epochs=20 | val accuracy 0.8854 | результат в пределах разброса предыдущих запусков.
2025-03-21 | run-259 | ResNet-18 | digits-aug | AdamW, lr=0.1, batch=128, epochs=20 | val accuracy 0.8056 | время эпохи в норме, узел gpu-07.
2025-03-21 | run-260 | MLP-3x256 | digits-aug | AdamW, lr=0.05, batch=256, epochs=30 | val accuracy 0.8862 | повторить с другим сидом для оценки разброса.
2025-03-21 | run-261 | MLP-3x256 | digits-aug | AdamW, lr=0.1, batch=256, epochs=30 | val accuracy 0.8136 | без замечаний, кривые обучения ровные.
2025-03-24 | run-262 | ResNet-18 | tabular-credit | SGD+momentum, lr=0.1, batch=128, epochs=50 | val accuracy 0.8745 | loss на валидации немного шумит после 15-й эпохи.
2025-03-24 | run-263 | ResNet-18 | cifar10-subset | SGD+momentum, lr=1e-3, batch=64, epochs=20 | val accuracy 0.8301 | loss на валидации немного шумит после 15-й эпохи.
2025-03-25 | run-264 | ResNet-18 | tabular-credit | AdamW, lr=5e-4, batch=64, epochs=50 | val accuracy 0.9315 | повторить с другим сидом для оценки разброса.
2025-03-25 | run-265 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=1e-3, batch=256, epochs=50 | val accuracy 0.8727 | памяти GPU хватает с запасом, можно увеличить batch.
2025-03-25 | run-266 | LightGBM | digits-aug | SGD+momentum, learning_rate=0.05, batch=128, epochs=30 | val accuracy 0.8298 | время эпохи в норме, узел gpu-07.
2025-03-26 | run-267 | ResNet-18 | tabular-credit | AdamW, lr=1e-3, batch=64, epochs=20 | val accuracy 0.8043 | ранняя остановка сработала раньше лимита эпох.
2025-03-26 | run-268 | ResNet-18 | tabular-credit | SGD+momentum, lr=0.1, batch=256, epochs=30 | val accuracy 0.9231 | результат в пределах разброса предыдущих запусков.
2025-03-26 | run-269 | ResNet-18 | cifar10-subset | SGD+momentum, lr=5e-4, batch=256, epochs=20 | val accuracy 0.8046 | валидация стабильна между эпохами, переобучения не видно.
2025-03-26 | run-270 | LightGBM | tabular-credit | AdamW, learning_rate=0.05, batch=64, epochs=50 | val accuracy 0.9597 | памяти GPU хватает с запасом, можно увеличить batch.
2025-03-27 | run-271 | ResNet-18 | tabular-credit | SGD+momentum, lr=3e-4, batch=256, epochs=20 | val accuracy 0.9558 | повторить с другим сидом для оценки разброса.
2025-03-27 | run-272 | ViT-S/16 | cifar10-subset | AdamW, lr=0.1, batch=64, epochs=30 | val accuracy 0.8542 | ранняя остановка сработала раньше лимита эпох.
2025-03-28 | run-273 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=5e-4, batch=64, epochs=30 | val accuracy 0.8281 | время эпохи в норме, узел gpu-07.
2025-03-28 | run-274 | ViT-S/16 | tabular-credit | SGD+momentum, lr=5e-4, batch=64, epochs=30 | val accuracy 0.9446 | без замечаний, кривые обучения ровные.
2025-03-31 | run-275 | ResNet-18 | digits-aug | SGD+momentum, lr=3e-4, batch=64, epochs=20 | val accuracy 0.965 | loss на валидации немного шумит после 15-й эпохи.
2025-03-31 | run-276 | ResNet-18 | cifar10-subset | AdamW, lr=1e-3, batch=64, epochs=20 | val accuracy 0.8945 | ранняя остановка сработала раньше лимита эпох.
2025-03-31 | run-277 | ResNet-18 | tabular-credit | SGD+momentum, lr=0.1, batch=128, epochs=50 | val accuracy 0.9508 | время эпохи в норме, узел gpu-07.
2025-04-01 | run-278 | LightGBM | digits-aug | AdamW, learning_rate=0.1, batch=64, epochs=30 | val accuracy 0.8661 | loss на валидации немного шумит после 15-й эпохи.
2025-04-01 | run-279 | ResNet-18 | tabular-credit | SGD+momentum, lr=3e-4, batch=64, epochs=30 | val accuracy 0.8777 | время эпохи в норме, узел gpu-07.
2025-04-01 | run-280 | MLP-3x256 | tabular-credit | AdamW, lr=5e-4, batch=256, epochs=30 | val accuracy 0.9647 | без замечаний, кривые обучения ровные.
2025-04-02 | run-281 | ViT-S/16 | tabular-credit | AdamW, lr=0.1, batch=128, epochs=50 | val accuracy 0.8531 | валидация стабильна между эпохами, переобучения не видно.
2025-04-02 | run-282 | ResNet-18 | cifar10-subset | SGD+momentum, lr=1e-3, batch=256, epochs=30 | val accuracy 0.9267 | ранняя остановка сработала раньше лимита эпох.
2025-04-02 | run-283 | ResNet-18 | digits-aug | SGD+momentum, lr=0.1, batch=64, epochs=30 | val accuracy 0.8762 | результат в пределах разброса предыдущих запусков.
2025-04-02 | run-284 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.1, batch=128, epochs=30 | val accuracy 0.8186 | повторить с другим сидом для оценки разброса.
2025-04-03 | run-285 | MLP-3x256 | digits-aug | AdamW, lr=3e-4, batch=128, epochs=20 | val accuracy 0.9447 | loss на валидации немного шумит после 15-й эпохи.
2025-04-03 | run-286 | LightGBM | tabular-credit | AdamW, learning_rate=5e-4, batch=64, epochs=50 | val accuracy 0.891 | ранняя остановка сработала раньше лимита эпох.
2025-04-03 | run-287 | LightGBM | tabular-credit | AdamW, learning_rate=5e-4, batch=64, epochs=50 | val accuracy 0.8221 | loss на валидации немного шумит после 15-й эпохи.
2025-04-04 | run-288 | ResNet-18 | tabular-credit | SGD+momentum, lr=0.05, batch=256, epochs=50 | val accuracy 0.8126 | валидация стабильна между эпохами, переобучения не видно.
2025-04-04 | run-289 | MLP-3x256 | digits-aug | AdamW, lr=3e-4, batch=64, epochs=20 | val accuracy 0.8252 | без замечаний, кривые обучения ровные.
2025-04-04 | run-290 | ViT-S/16 | tabular-credit | SGD+momentum, lr=0.1, batch=256, epochs=30 | val accuracy 0.9214 | валидация стабильна между эпохами, переобучения не видно.
2025-04-07 | run-291 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=0.1, batch=256, epochs=50 | val accuracy 0.9598 | повторить с другим сидом для оценки разброса.
2025-04-07 | run-292 | MLP-3x256 | digits-aug | SGD+momentum, lr=3e-4, batch=128, epochs=30 | val accuracy 0.9453 | ранняя остановка сработала раньше лимита эпох.
2025-04-07 | run-293 | MLP-3x256 | digits-aug | SGD+momentum, lr=0.05, batch=64, epochs=50 | val accuracy 0.9643 | повторить с другим сидом для оценки разброса.
2025-04-07 | run-294 | ViT-S/16 | cifar10-subset | AdamW, lr=3e-4, batch=256, epochs=50 | val accuracy 0.8983 | валидация стабильна между эпохами, переобучения не видно.
2025-04-08 | run-295 | ViT-S/16 | tabular-credit | AdamW, lr=1e-3, batch=128, epochs=50 | val accuracy 0.8017 | результат в пределах разброса предыдущих запусков.
2025-04-08 | run-296 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=5e-4, batch=128, epochs=50 | val accuracy 0.8964 | результат в пределах разброса предыдущих запусков.
2025-04-08 | run-297 | ViT-S/16 | cifar10-subset | AdamW, lr=0.1, batch=64, epochs=20 | val accuracy 0.9519 | повторить с другим сидом для оценки разброса.
2025-04-09 | run-298 | ViT-S/16 | tabular-credit | SGD+momentum, lr=5e-4, batch=64, epochs=30 | val accuracy 0.8035 | повторить с другим сидом для оценки разброса.
2025-04-09 | run-299 | MLP-3x256 | digits-aug | AdamW, lr=0.05, batch=64, epochs=50 | val accuracy 0.9534 | ранняя остановка сработала раньше лимита эпох.
2025-04-09 | run-300 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=1e-3, batch=64, epochs=30 | val accuracy 0.8792 | результат в пределах разброса предыдущих запусков.
2025-04-09 | run-301 | MLP-3x256 | tabular-credit | SGD+momentum, lr=3e-4, batch=128, epochs=20 | val accuracy 0.8379 | памяти GPU хватает с запасом, можно увеличить batch.
2025-04-10 | run-302 | MLP-3x256 | cifar10-subset | AdamW, lr=0.05, batch=128, epochs=50 | val accuracy 0.8649 | валидация стабильна между эпохами, переобучения не видно.
2025-04-10 | run-303 | LightGBM | tabular-credit | AdamW, learning_rate=1e-3, batch=128, epochs=20 | val accuracy 0.849 | повторить с другим сидом для оценки разброса.
2025-04-10 | run-304 | ResNet-18 | digits-aug | AdamW, lr=0.1, batch=64, epochs=20 | val accuracy 0.8922 | ранняя остановка сработала раньше лимита эпох.
2025-04-11 | run-305 | ResNet-18 | tabular-credit | SGD+momentum, lr=5e-4, batch=256, epochs=20 | val accuracy 0.944 | время эпохи в норме, узел gpu-07.
2025-04-11 | run-306 | ViT-S/16 | tabular-credit | SGD+momentum, lr=5e-4, batch=128, epochs=30 | val accuracy 0.8371 | loss на валидации немного шумит после 15-й эпохи.
2025-04-11 | run-307 | ResNet-18 | cifar10-subset | SGD+momentum, lr=0.1, batch=256, epochs=30 | val accuracy 0.8697 | ранняя остановка сработала раньше лимита эпох.
2025-04-11 | run-308 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=3e-4, batch=128, epochs=50 | val accuracy 0.9225 | loss на валидации немного шумит после 15-й эпохи.
2025-04-14 | run-309 | MLP-3x256 | digits-aug | AdamW, lr=1e-3, batch=256, epochs=30 | val accuracy 0.8662 | время эпохи в норме, узел gpu-07.
2025-04-14 | run-310 | LightGBM | digits-aug | SGD+momentum, learning_rate=0.05, batch=128, epochs=50 | val accuracy 0.8458 | памяти GPU хватает с запасом, можно увеличить batch.
2025-04-14 | run-311 | ResNet-18 | tabular-credit | SGD+momentum, lr=1e-3, batch=128, epochs=20 | val accuracy 0.8736 | повторить с другим сидом для оценки разброса.
2025-04-15 | run-312 | MLP-3x256 | cifar10-subset | AdamW, lr=0.05, batch=128, epochs=50 | val accuracy 0.9609 | результат в пределах разброса предыдущих запусков.
2025-04-15 | run-313 | ViT-S/16 | digits-aug | SGD+momentum, lr=0.1, batch=64, epochs=30 | val accuracy 0.8513 | без замечаний, кривые обучения ровные.
2025-04-15 | run-314 | ResNet-18 | tabular-credit | SGD+momentum, lr=0.05, batch=64, epochs=30 | val accuracy 0.947 | без замечаний, кривые обучения ровные.
2025-04-16 | run-315 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=3e-4, batch=64, epochs=20 | val accuracy 0.9197 | повторить с другим сидом для оценки разброса.
2025-04-16 | run-316 | LightGBM | cifar10-subset | AdamW, learning_rate=1e-3, batch=256, epochs=20 | val accuracy 0.8013 | повторить с другим сидом для оценки разброса.
2025-04-17 | run-317 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=3e-4, batch=256, epochs=50 | val accuracy 0.9399 | ранняя остановка сработала раньше лимита эпох.
2025-04-17 | run-318 | ResNet-18 | digits-aug | AdamW, lr=3e-4, batch=128, epochs=30 | val accuracy 0.8374 | результат в пределах разброса предыдущих запусков.
2025-04-18 | run-319 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=1e-3, batch=128, epochs=20 | val accuracy 0.9016 | loss на валидации немного шумит после 15-й эпохи.
2025-04-18 | run-320 | LightGBM | tabular-credit | SGD+momentum, learning_rate=3e-4, batch=64, epochs=30 | val accuracy 0.8983 | валидация стабильна между эпохами, переобучения не видно.
2025-04-21 | run-321 | LightGBM | cifar10-subset | AdamW, learning_rate=0.1, batch=64, epochs=30 | val accuracy 0.9274 | время эпохи в норме, узел gpu-07.
2025-04-21 | run-322 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=0.1, batch=256, epochs=20 | val accuracy 0.8826 | результат в пределах разброса предыдущих запусков.
2025-04-22 | run-323 | MLP-3x256 | tabular-credit | AdamW, lr=0.05, batch=64, epochs=30 | val accuracy 0.8904 | памяти GPU хватает с запасом, можно увеличить batch.
2025-04-22 | run-324 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=3e-4, batch=128, epochs=30 | val accuracy 0.8749 | ранняя остановка сработала раньше лимита эпох.
2025-04-23 | run-325 | MLP-3x256 | digits-aug | AdamW, lr=0.1, batch=128, epochs=20 | val accuracy 0.8668 | ранняя остановка сработала раньше лимита эпох.
2025-04-23 | run-326 | ViT-S/16 | tabular-credit | SGD+momentum, lr=0.05, batch=128, epochs=30 | val accuracy 0.8233 | loss на валидации немного шумит после 15-й эпохи.
2025-04-24 | run-327 | ViT-S/16 | digits-aug | AdamW, lr=3e-4, batch=256, epochs=50 | val accuracy 0.8495 | валидация стабильна между эпохами, переобучения не видно.
2025-04-24 | run-328 | ResNet-18 | cifar10-subset | SGD+momentum, lr=1e-3, batch=256, epochs=20 | val accuracy 0.8552 | результат в пределах разброса предыдущих запусков.
2025-04-24 | run-329 | MLP-3x256 | digits-aug | AdamW, lr=0.05, batch=64, epochs=30 | val accuracy 0.8819 | без замечаний, кривые обучения ровные.
2025-04-24 | run-330 | LightGBM | digits-aug | AdamW, learning_rate=5e-4, batch=256, epochs=50 | val accuracy 0.8302 | ранняя остановка сработала раньше лимита эпох.
2025-04-25 | run-331 | MLP-3x256 | digits-aug | AdamW, lr=0.1, batch=64, epochs=30 | val accuracy 0.8728 | loss на валидации немного шумит после 15-й эпохи.
2025-04-25 | run-332 | ViT-S/16 | cifar10-subset | AdamW, lr=1e-3, batch=128, epochs=50 | val accuracy 0.8221 | время эпохи в норме, узел gpu-07.
2025-04-25 | run-333 | ResNet-18 | digits-aug | SGD+momentum, lr=5e-4, batch=128, epochs=30 | val accuracy 0.9461 | время эпохи в норме, узел gpu-07.
2025-04-28 | run-334 | LightGBM | digits-aug | SGD+momentum, learning_rate=0.05, batch=256, epochs=30 | val accuracy 0.8645 | результат в пределах разброса предыдущих запусков.
2025-04-28 | run-335 | ResNet-18 | cifar10-subset | AdamW, lr=1e-3, batch=128, epochs=30 | val accuracy 0.924 | время эпохи в норме, узел gpu-07.
2025-04-28 | run-336 | LightGBM | digits-aug | AdamW, learning_rate=1e-3, batch=64, epochs=30 | val accuracy 0.867 | ранняя остановка сработала раньше лимита эпох.
2025-04-29 | run-337 | ResNet-18 | digits-aug | AdamW, lr=0.1, batch=128, epochs=30 | val accuracy 0.9061 | ранняя остановка сработала раньше лимита эпох.
2025-04-29 | run-338 | ResNet-18 | cifar10-subset | SGD+momentum, lr=1e-3, batch=256, epochs=30 | val accuracy 0.8337 | памяти GPU хватает с запасом, можно увеличить batch.
2025-04-29 | run-339 | ResNet-18 | digits-aug | AdamW, lr=3e-4, batch=64, epochs=50 | val accuracy 0.9013 | loss на валидации немного шумит после 15-й эпохи.
2025-04-30 | run-340 | MLP-3x256 | tabular-credit | AdamW, lr=0.1, batch=64, epochs=30 | val accuracy 0.8738 | ранняя остановка сработала раньше лимита эпох.
2025-04-30 | run-341 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=1e-3, batch=128, epochs=50 | val accuracy 0.8073 | результат в пределах разброса предыдущих запусков.
2025-04-30 | run-342 | ResNet-18 | digits-aug | SGD+momentum, lr=0.05, batch=256, epochs=20 | val accuracy 0.8527 | валидация стабильна между эпохами, переобучения не видно.
2025-05-01 | run-343 | ViT-S/16 | cifar10-subset | AdamW, lr=1e-3, batch=64, epochs=20 | val accuracy 0.9164 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-01 | run-344 | LightGBM | tabular-credit | AdamW, learning_rate=5e-4, batch=256, epochs=50 | val accuracy 0.8481 | время эпохи в норме, узел gpu-07.
2025-05-01 | run-345 | ResNet-18 | tabular-credit | AdamW, lr=3e-4, batch=64, epochs=50 | val accuracy 0.9498 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-01 | run-346 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=1e-3, batch=128, epochs=20 | val accuracy 0.9012 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-02 | run-347 | ResNet-18 | digits-aug | AdamW, lr=0.05, batch=64, epochs=30 | val accuracy 0.8057 | валидация стабильна между эпохами, переобучения не видно.
2025-05-02 | run-348 | ViT-S/16 | cifar10-subset | AdamW, lr=0.05, batch=256, epochs=50 | val accuracy 0.8332 | результат в пределах разброса предыдущих запусков.
2025-05-05 | run-349 | ViT-S/16 | tabular-credit | SGD+momentum, lr=0.1, batch=64, epochs=30 | val accuracy 0.9406 | loss на валидации немного шумит после 15-й эпохи.
2025-05-05 | run-350 | ViT-S/16 | tabular-credit | AdamW, lr=1e-3, batch=128, epochs=30 | val accuracy 0.9089 | loss на валидации немного шумит после 15-й эпохи.
2025-05-05 | run-351 | ResNet-18 | cifar10-subset | AdamW, lr=5e-4, batch=64, epochs=50 | val accuracy 0.9326 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-06 | run-352 | LightGBM | tabular-credit | AdamW, learning_rate=0.05, batch=128, epochs=20 | val accuracy 0.883 | валидация стабильна между эпохами, переобучения не видно.
2025-05-06 | run-353 | MLP-3x256 | tabular-credit | AdamW, lr=5e-4, batch=128, epochs=50 | val accuracy 0.8398 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-06 | run-354 | ResNet-18 | cifar10-subset | AdamW, lr=5e-4, batch=256, epochs=30 | val accuracy 0.8126 | loss на валидации немного шумит после 15-й эпохи.
2025-05-07 | run-355 | ResNet-18 | digits-aug | AdamW, lr=0.1, batch=256, epochs=20 | val accuracy 0.8231 | ранняя остановка сработала раньше лимита эпох.
2025-05-07 | run-356 | MLP-3x256 | tabular-credit | AdamW, lr=5e-4, batch=256, epochs=30 | val accuracy 0.9569 | результат в пределах разброса предыдущих запусков.
2025-05-07 | run-357 | ResNet-18 | tabular-credit | SGD+momentum, lr=3e-4, batch=64, epochs=50 | val accuracy 0.8859 | результат в пределах разброса предыдущих запусков.
2025-05-08 | run-358 | ResNet-18 | cifar10-subset | AdamW, lr=5e-4, batch=64, epochs=20 | val accuracy 0.8162 | результат в пределах разброса предыдущих запусков.
2025-05-08 | run-359 | ResNet-18 | tabular-credit | SGD+momentum, lr=1e-3, batch=128, epochs=30 | val accuracy 0.887 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-08 | run-360 | MLP-3x256 | tabular-credit | SGD+momentum, lr=1e-3, batch=256, epochs=30 | val accuracy 0.8271 | время эпохи в норме, узел gpu-07.
2025-05-08 | run-361 | ViT-S/16 | cifar10-subset | AdamW, lr=5e-4, batch=64, epochs=50 | val accuracy 0.9302 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-09 | run-362 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=3e-4, batch=256, epochs=20 | val accuracy 0.8402 | повторить с другим сидом для оценки разброса.
2025-05-09 | run-363 | ViT-S/16 | digits-aug | SGD+momentum, lr=1e-3, batch=64, epochs=20 | val accuracy 0.9191 | ранняя остановка сработала раньше лимита эпох.
2025-05-12 | run-364 | MLP-3x256 | digits-aug | SGD+momentum, lr=3e-4, batch=256, epochs=30 | val accuracy 0.8635 | валидация стабильна между эпохами, переобучения не видно.
2025-05-12 | run-365 | ViT-S/16 | cifar10-subset | AdamW, lr=1e-3, batch=256, epochs=20 | val accuracy 0.8017 | ранняя остановка сработала раньше лимита эпох.
2025-05-12 | run-366 | MLP-3x256 | digits-aug | SGD+momentum, lr=0.05, batch=256, epochs=30 | val accuracy 0.9605 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-13 | run-367 | ViT-S/16 | digits-aug | AdamW, lr=3e-4, batch=64, epochs=50 | val accuracy 0.9416 | валидация стабильна между эпохами, переобучения не видно.
2025-05-13 | run-368 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=3e-4, batch=256, epochs=30 | val accuracy 0.899 | без замечаний, кривые обучения ровные.
2025-05-14 | run-369 | LightGBM | digits-aug | SGD+momentum, learning_rate=5e-4, batch=128, epochs=50 | val accuracy 0.9369 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-14 | run-370 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=3e-4, batch=128, epochs=30 | val accuracy 0.9004 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-14 | run-371 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=5e-4, batch=256, epochs=30 | val accuracy 0.9547 | loss на валидации немного шумит после 15-й эпохи.
2025-05-15 | run-372 | MLP-3x256 | digits-aug | SGD+momentum, lr=0.1, batch=256, epochs=20 | val accuracy 0.8492 | время эпохи в норме, узел gpu-07.
2025-05-15 | run-373 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.1, batch=64, epochs=50 | val accuracy 0.8276 | результат в пределах разброса предыдущих запусков.
2025-05-15 | run-374 | LightGBM | tabular-credit | SGD+momentum, learning_rate=5e-4, batch=256, epochs=50 | val accuracy 0.8753 | без замечаний, кривые обучения ровные.
2025-05-15 | run-375 | ViT-S/16 | tabular-credit | SGD+momentum, lr=1e-3, batch=256, epochs=20 | val accuracy 0.803 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-16 | run-376 | ViT-S/16 | cifar10-subset | AdamW, lr=5e-4, batch=128, epochs=20 | val accuracy 0.9006 | без замечаний, кривые обучения ровные.
2025-05-16 | run-377 | ResNet-18 | digits-aug | AdamW, lr=5e-4, batch=64, epochs=30 | val accuracy 0.9588 | результат в пределах разброса предыдущих запусков.
2025-05-19 | run-378 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=1e-3, batch=64, epochs=20 | val accuracy 0.9154 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-19 | run-379 | LightGBM | digits-aug | AdamW, learning_rate=0.05, batch=64, epochs=20 | val accuracy 0.8325 | результат в пределах разброса предыдущих запусков.
2025-05-19 | run-380 | ViT-S/16 | digits-aug | SGD+momentum, lr=0.1, batch=64, epochs=20 | val accuracy 0.9035 | без замечаний, кривые обучения ровные.
2025-05-20 | run-381 | ResNet-18 | digits-aug | AdamW, lr=0.1, batch=128, epochs=30 | val accuracy 0.8141 | время эпохи в норме, узел gpu-07.
2025-05-20 | run-382 | ResNet-18 | tabular-credit | AdamW, lr=5e-4, batch=256, epochs=50 | val accuracy 0.9615 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-20 | run-383 | MLP-3x256 | tabular-credit | SGD+momentum, lr=5e-4, batch=64, epochs=30 | val accuracy 0.9478 | повторить с другим сидом для оценки разброса.
2025-05-20 | run-384 | ResNet-18 | digits-aug | SGD+momentum, lr=0.1, batch=256, epochs=30 | val accuracy 0.9179 | ранняя остановка сработала раньше лимита эпох.
2025-05-21 | run-385 | MLP-3x256 | cifar10-subset | AdamW, lr=0.1, batch=64, epochs=50 | val accuracy 0.9276 | результат в пределах разброса предыдущих запусков.
2025-05-21 | run-386 | LightGBM | digits-aug | AdamW, learning_rate=0.05, batch=64, epochs=50 | val accuracy 0.8433 | loss на валидации немного шумит после 15-й эпохи.
2025-05-21 | run-387 | ResNet-18 | cifar10-subset | AdamW, lr=0.1, batch=64, epochs=20 | val accuracy 0.8024 | ранняя остановка сработала раньше лимита эпох.
2025-05-22 | run-388 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=3e-4, batch=128, epochs=50 | val accuracy 0.814 | время эпохи в норме, узел gpu-07.
2025-05-22 | run-389 | ResNet-18 | cifar10-subset | SGD+momentum, lr=1e-3, batch=128, epochs=20 | val accuracy 0.8078 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-22 | run-390 | MLP-3x256 | tabular-credit | AdamW, lr=0.05, batch=64, epochs=50 | val accuracy 0.9449 | повторить с другим сидом для оценки разброса.
2025-05-22 | run-391 | ViT-S/16 | digits-aug | AdamW, lr=1e-3, batch=128, epochs=30 | val accuracy 0.8951 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-23 | run-392 | MLP-3x256 | digits-aug | AdamW, lr=1e-3, batch=64, epochs=20 | val accuracy 0.8864 | памяти GPU хватает с запасом, можно увеличить batch.
2025-05-23 | run-393 | ViT-S/16 | cifar10-subset | AdamW, lr=1e-3, batch=64, epochs=50 | val accuracy 0.9573 | loss на валидации немного шумит после 15-й эпохи.
2025-05-23 | run-394 | ViT-S/16 | tabular-credit | AdamW, lr=1e-3, batch=128, epochs=30 | val accuracy 0.8615 | loss на валидации немного шумит после 15-й эпохи.
2025-05-26 | run-395 | MLP-3x256 | digits-aug | AdamW, lr=1e-3, batch=128, epochs=30 | val accuracy 0.8521 | результат в пределах разброса предыдущих запусков.
2025-05-26 | run-396 | MLP-3x256 | digits-aug | AdamW, lr=3e-4, batch=128, epochs=50 | val accuracy 0.8237 | loss на валидации немного шумит после 15-й эпохи.
2025-05-26 | run-397 | ViT-S/16 | cifar10-subset | AdamW, lr=3e-4, batch=256, epochs=50 | val accuracy 0.8057 | валидация стабильна между эпохами, переобучения не видно.
2025-05-26 | run-398 | ResNet-18 | digits-aug | SGD+momentum, lr=0.1, batch=256, epochs=50 | val accuracy 0.8499 | результат в пределах разброса предыдущих запусков.
2025-05-27 | run-399 | LightGBM | digits-aug | SGD+momentum, learning_rate=0.1, batch=256, epochs=20 | val accuracy 0.857 | ранняя остановка сработала раньше лимита эпох.
2025-05-27 | run-400 | LightGBM | tabular-credit | AdamW, learning_rate=3e-4, batch=128, epochs=20 | val accuracy 0.8948 | loss на валидации немного шумит после 15-й эпохи.
2025-05-27 | run-401 | MLP-3x256 | digits-aug | AdamW, lr=0.1, batch=256, epochs=20 | val accuracy 0.804 | без замечаний, кривые обучения ровные.
2025-05-27 | run-402 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=3e-4, batch=128, epochs=30 | val accuracy 0.8563 | ранняя остановка сработала раньше лимита эпох.
2025-05-28 | run-403 | ViT-S/16 | digits-aug | SGD+momentum, lr=5e-4, batch=256, epochs=20 | val accuracy 0.9128 | без замечаний, кривые обучения ровные.
2025-05-28 | run-404 | MLP-3x256 | digits-aug | AdamW, lr=0.05, batch=256, epochs=50 | val accuracy 0.9147 | результат в пределах разброса предыдущих запусков.
2025-05-29 | run-405 | ResNet-18 | digits-aug | SGD+momentum, lr=0.1, batch=256, epochs=20 | val accuracy 0.899 | результат в пределах разброса предыдущих запусков.
2025-05-29 | run-406 | LightGBM | digits-aug | SGD+momentum, learning_rate=0.05, batch=256, epochs=20 | val accuracy 0.8937 | ранняя остановка сработала раньше лимита эпох.
2025-05-29 | run-407 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.05, batch=64, epochs=30 | val accuracy 0.8487 | время эпохи в норме, узел gpu-07.
2025-05-30 | run-408 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.1, batch=128, epochs=20 | val accuracy 0.9045 | повторить с другим сидом для оценки разброса.
2025-05-30 | run-409 | LightGBM | digits-aug | AdamW, learning_rate=0.1, batch=256, epochs=20 | val accuracy 0.9163 | результат в пределах разброса предыдущих запусков.
2025-05-30 | run-410 | MLP-3x256 | cifar10-subset | AdamW, lr=0.1, batch=64, epochs=50 | val accuracy 0.8591 | валидация стабильна между эпохами, переобучения не видно.
2025-06-02 | run-411 | ViT-S/16 | cifar10-subset-v2 | SGD+momentum, lr=0.1, batch=128, epochs=30 | val accuracy 0.8333 | без замечаний, кривые обучения ровные.
2025-06-02 | run-412 | ResNet-18 | cifar10-subset-v2 | AdamW, lr=0.1, batch=256, epochs=30 | val accuracy 0.9372 | валидация стабильна между эпохами, переобучения не видно.
2025-06-02 | run-413 | LightGBM | digits-aug | SGD+momentum, learning_rate=0.05, batch=256, epochs=50 | val accuracy 0.9343 | ранняя остановка сработала раньше лимита эпох.
2025-06-02 | run-414 | ResNet-18 | cifar10-subset | AdamW, lr=5e-4, batch=128, epochs=50 | val accuracy 0.9622 | результат в пределах разброса предыдущих запусков.
2025-06-02 | СОБЫТИЕ | С сегодняшнего дня половина запусков идёт на датасете cifar10-subset-v2 (исправлена разметка 312 изображений).
